,provinsi,melaksanakan_pilkada
1,Aceh,Tidak
2,Sumatera Utara,Tidak
3,Sumatera Barat,Ya
4,Riau,Tidak
5,Jambi,Ya
6,Sumatera Selatan,Tidak
7,Bengkulu,Ya
8,Lampung,Tidak
9,Bangka Belitung,Tidak
10,Kepulauan Riau,Ya
11,Jakarta Raya,Tidak
12,Jawa Barat,Tidak
13,Jawa Tengah,Tidak
14,Yogyakarta,Tidak
15,Jawa Timur,Tidak
16,Banten,Tidak
17,Bali,Tidak
18,Nusa Tenggara Barat,Tidak
19,Nusa Tenggara Timur,Tidak
20,Kalimantan Barat,Tidak
21,Kalimantan Tengah,Ya
22,Kalimantan Selatan,Ya
23,Kalimantan Timur,Tidak
24,Kalimantan Utara,Ya
25,Sulawesi Utara,Ya
26,Sulawesi Tengah,Ya
27,Sulawesi Selatan,Tidak
28,Sulawesi Tenggara,Tidak
29,Gorontalo,Tidak
30,Sulawesi Barat,Tidak
31,Maluku,Tidak
32,Maluku Utara,Tidak
33,Papua,Tidak
34,Papua Barat,Tidak
